,Players,Team
0,Aramis Nin Ramirez,Pittsburgh Pirates
1,Alexei Fernando Ramirez,Tampa Bay Rays
2,Yasiel Puig,Los Angeles Dodgers
3,Erick Johan Aybar,Minnesota Twins
4,Miguel Angel Montero,Washington Nationals
5,Starlin DeJesus Castro,Miami Marlins
6,Yoenis Céspedes,New York Mets
7,Robinson Jose Canó,Seattle Mariners
8,Salvador Johan Perez,Kansas City Royals
9,Jose Miguel Cabrera,Detroit Tigers
10,José Carlos Altuve,Houston Astros
11,José Antonio Bautista,Toronto Blue Jays
12,Carlos Argelis Gómez,Tampa Bay Rays
13,José Dariel Abreu,Chicago White Sox
14,Nelson Ramon Cruz,Seattle Mariners
15,Adrian Beltre,Texas Rangers
