,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
16,17," Cooper, G",NYY, ,643265,1B,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.822,0,0,0,1,21,6,0,7,11,0.64,184,45
5,6," Castro, S",NYY, ,516770,2B,112,443,66,133,18,1,16,63,23,93,2,0,.300,.338,.454,.792,1,4,0,3,201,35,9,140,89,1.57,1839,473
8,9," Torreyes, R",NYY, ,591720,2B,108,315,35,92,15,1,3,36,11,43,2,0,.292,.314,.375,.689,0,1,5,4,118,19,9,116,82,1.41,1075,336
2,3," Gregorius, D",NYY, ,544369,SS,136,534,73,153,27,0,25,87,25,70,3,1,.287,.318,.478,.796,1,3,0,7,255,52,7,135,190,0.71,2069,570
1,2," Judge, A",NYY, ,592450,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,11,5,0,4,340,79,15,100,99,1.01,2989,678
4,5," Sanchez, G",NYY, ,596142,C,122,471,79,131,20,0,33,90,40,120,2,1,.278,.345,.531,.876,1,10,0,4,250,53,9,124,109,1.14,2031,525
3,4," Headley, C",NYY, ,452104,3B,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758,2,6,1,7,208,43,10,138,120,1.15,2331,586
9,10," Hicks, A",NYY, ,543305,CF,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847,0,3,1,5,143,33,8,90,78,1.15,1483,361
7,8," Ellsbury, J",NYY, ,453056,CF,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750,3,5,2,0,143,31,7,113,95,1.19,1563,409
0,1," Gardner, B",NYY, ,458731,LF,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778,2,8,5,3,254,51,4,165,162,1.02,2890,682
6,7," Holliday, M",NYY, ,407812,DH,105,373,50,86,18,0,19,64,46,114,1,0,.231,.316,.432,.748,0,3,0,5,161,37,14,112,80,1.40,1733,427
14,15," Frazier, C",NYY, ,640449,LF,39,134,16,31,9,4,4,17,7,43,1,0,.231,.268,.448,.715,0,0,0,1,60,17,2,29,34,0.85,565,142
11,12," Frazier, T",NYY, ,453943,3B,66,194,33,43,4,1,11,32,35,54,0,0,.222,.365,.423,.788,1,10,0,2,82,16,6,45,62,0.73,995,241
10,11," Romine, A",NYY, ,519222,C,80,229,19,50,9,1,2,21,16,57,0,0,.218,.272,.293,.565,0,2,2,3,67,12,7,77,57,1.35,951,252
12,13," Carter, C",NYY, ,474892,1B,62,184,20,37,5,1,8,26,20,76,0,0,.201,.284,.370,.653,0,2,0,2,68,14,5,30,48,0.63,890,208
13,14," Bird, G",NYY, ,595885,1B,48,147,20,28,7,0,9,28,19,42,0,0,.190,.288,.422,.710,0,2,0,2,62,16,2,31,50,0.62,725,170
15,16," Wade, T",NYY, ,642180,SS,30,58,7,9,4,0,0,2,5,19,1,1,.155,.222,.224,.446,0,0,0,0,13,4,2,19,13,1.46,243,63
